,dataset,esperimento,pattern,graph,Sub_92_present,Sub_42_present,Sub_92_compliant,Sub_42_compliant,respected,Sub92,Sub42
0,bpi17denied,pattern,249,graph2747,True,True,True,True,True,1,1
1,bpi17denied,pattern,249,graph2746,True,True,True,True,True,1,0
2,bpi17denied,pattern,249,graph2745,True,True,True,True,True,1,0
3,bpi17denied,pattern,249,graph2744,True,True,True,True,True,1,0
4,bpi17denied,pattern,249,graph2743,True,True,True,True,True,1,1
5,bpi17denied,pattern,249,graph2742,False,False,False,False,,1,0
6,bpi17denied,pattern,249,graph2741,True,True,True,True,True,1,0
7,bpi17denied,pattern,249,graph2740,False,False,False,False,,1,0
8,bpi17denied,pattern,249,graph2739,False,False,False,False,,1,0
9,bpi17denied,pattern,249,graph2738,True,True,True,True,True,1,0
10,bpi17denied,pattern,249,graph2737,True,True,True,True,True,1,1
11,bpi17denied,pattern,249,graph2736,False,False,False,False,,1,0
12,bpi17denied,pattern,249,graph2735,False,False,False,False,,1,0
13,bpi17denied,pattern,249,graph2734,False,False,False,False,,1,1
14,bpi17denied,pattern,249,graph2733,True,True,True,True,True,1,0
15,bpi17denied,pattern,249,graph2732,True,True,True,True,True,1,1
16,bpi17denied,pattern,249,graph2731,True,True,True,True,True,1,1
17,bpi17denied,pattern,249,graph2730,True,True,True,True,True,1,0
18,bpi17denied,pattern,249,graph2729,True,True,True,True,True,1,1
19,bpi17denied,pattern,249,graph2728,True,True,True,True,True,1,0
20,bpi17denied,pattern,249,graph2727,True,True,True,True,True,1,0
21,bpi17denied,pattern,249,graph2726,True,True,True,True,True,1,1
22,bpi17denied,pattern,249,graph2725,False,False,False,False,,1,0
23,bpi17denied,pattern,249,graph2724,True,True,True,True,True,1,0
24,bpi17denied,pattern,249,graph2723,True,True,True,True,True,1,0
25,bpi17denied,pattern,249,graph2722,True,True,True,True,True,1,0
26,bpi17denied,pattern,249,graph2721,True,True,True,True,True,1,0
27,bpi17denied,pattern,249,graph2720,False,False,False,False,,1,0
28,bpi17denied,pattern,249,graph2719,True,True,True,True,True,1,0
29,bpi17denied,pattern,249,graph2718,False,False,False,False,,1,0
30,bpi17denied,pattern,249,graph2717,True,True,True,True,True,1,1
31,bpi17denied,pattern,249,graph2716,True,True,True,True,True,1,1
32,bpi17denied,pattern,249,graph2715,True,True,True,True,True,1,0
33,bpi17denied,pattern,249,graph2714,True,True,True,True,True,1,1
34,bpi17denied,pattern,249,graph2713,True,True,True,True,True,1,1
35,bpi17denied,pattern,249,graph2712,True,True,True,True,True,1,1
36,bpi17denied,pattern,249,graph2711,False,False,False,False,,1,0
37,bpi17denied,pattern,249,graph2710,True,True,True,True,True,1,1
38,bpi17denied,pattern,249,graph2709,True,True,True,True,True,1,1
39,bpi17denied,pattern,249,graph2708,False,False,False,False,,1,0
40,bpi17denied,pattern,249,graph2707,False,False,False,False,,1,0
41,bpi17denied,pattern,249,graph2706,True,True,True,True,True,1,0
42,bpi17denied,pattern,249,graph2705,False,False,False,False,,1,0
43,bpi17denied,pattern,249,graph2704,False,False,False,False,,1,0
44,bpi17denied,pattern,249,graph2703,True,True,True,True,True,1,1
45,bpi17denied,pattern,249,graph2702,True,True,True,True,True,1,0
46,bpi17denied,pattern,249,graph2701,True,True,True,True,True,1,0
47,bpi17denied,pattern,249,graph2700,True,True,True,True,True,1,1
48,bpi17denied,pattern,249,graph2699,True,True,True,True,True,1,0
49,bpi17denied,pattern,249,graph2698,True,True,True,True,True,1,0
50,bpi17denied,pattern,249,graph2697,True,True,True,True,True,1,1
51,bpi17denied,pattern,249,graph2696,True,True,True,True,True,1,0
52,bpi17denied,pattern,249,graph2695,True,True,True,True,True,1,1
53,bpi17denied,pattern,249,graph2694,True,True,True,True,True,1,0
54,bpi17denied,pattern,249,graph2693,True,True,True,True,True,1,1
55,bpi17denied,pattern,249,graph2692,False,False,False,False,,1,0
56,bpi17denied,pattern,249,graph2691,True,True,True,True,True,1,1
57,bpi17denied,pattern,249,graph2690,True,True,True,True,True,1,0
58,bpi17denied,pattern,249,graph2689,False,False,False,False,,1,0
59,bpi17denied,pattern,249,graph2688,True,True,True,True,True,1,1
60,bpi17denied,pattern,249,graph2687,True,True,True,True,True,1,0
61,bpi17denied,pattern,249,graph2686,True,True,True,True,True,1,0
62,bpi17denied,pattern,249,graph2685,True,True,True,True,True,1,1
63,bpi17denied,pattern,249,graph2684,True,True,True,True,True,1,1
64,bpi17denied,pattern,249,graph2683,True,True,True,True,True,1,0
65,bpi17denied,pattern,249,graph2682,True,True,True,True,True,1,0
66,bpi17denied,pattern,249,graph2681,True,True,True,True,True,1,1
67,bpi17denied,pattern,249,graph2680,True,True,True,True,True,1,0
68,bpi17denied,pattern,249,graph2679,False,False,False,False,,1,0
69,bpi17denied,pattern,249,graph2678,True,True,True,True,True,1,0
70,bpi17denied,pattern,249,graph2677,False,False,False,False,,1,0
71,bpi17denied,pattern,249,graph2676,True,True,True,True,True,1,1
72,bpi17denied,pattern,249,graph2675,True,True,True,True,True,1,1
73,bpi17denied,pattern,249,graph2674,True,True,True,True,True,0,1
74,bpi17denied,pattern,249,graph2673,True,True,True,True,True,1,0
75,bpi17denied,pattern,249,graph2672,True,True,True,True,True,1,1
76,bpi17denied,pattern,249,graph2671,True,True,True,True,True,1,1
77,bpi17denied,pattern,249,graph2670,True,True,True,True,True,1,0
78,bpi17denied,pattern,249,graph2669,True,True,True,True,True,1,1
79,bpi17denied,pattern,249,graph2668,True,True,True,True,True,1,1
80,bpi17denied,pattern,249,graph2667,True,True,True,True,True,1,1
81,bpi17denied,pattern,249,graph2666,True,True,True,True,True,1,1
82,bpi17denied,pattern,249,graph2665,True,True,True,True,True,1,0
83,bpi17denied,pattern,249,graph2664,True,True,True,True,True,1,1
84,bpi17denied,pattern,249,graph2663,True,True,True,True,True,1,0
85,bpi17denied,pattern,249,graph2662,False,False,False,False,,1,0
86,bpi17denied,pattern,249,graph2661,True,True,True,True,True,1,1
87,bpi17denied,pattern,249,graph2660,True,True,True,True,True,1,1
88,bpi17denied,pattern,249,graph2659,True,True,True,True,True,1,1
89,bpi17denied,pattern,249,graph2658,True,True,True,True,True,1,1
90,bpi17denied,pattern,249,graph2657,True,True,True,True,True,1,0
91,bpi17denied,pattern,249,graph2656,True,True,True,True,True,1,0
92,bpi17denied,pattern,249,graph2655,True,True,True,True,True,1,0
93,bpi17denied,pattern,249,graph2654,True,True,True,True,True,1,0
94,bpi17denied,pattern,249,graph2653,False,False,False,False,,1,0
95,bpi17denied,pattern,249,graph2652,True,True,True,True,True,1,0
96,bpi17denied,pattern,249,graph2651,True,True,True,True,True,1,0
97,bpi17denied,pattern,249,graph2650,True,True,True,True,True,1,0
98,bpi17denied,pattern,249,graph2649,True,True,True,True,True,1,1
99,bpi17denied,pattern,249,graph2648,True,True,True,True,True,1,0
100,bpi17denied,pattern,249,graph2647,True,True,True,True,True,1,0
101,bpi17denied,pattern,249,graph2646,True,True,True,True,True,1,0
102,bpi17denied,pattern,249,graph2645,True,True,True,True,True,1,1
103,bpi17denied,pattern,249,graph2644,True,True,True,True,True,1,0
104,bpi17denied,pattern,249,graph2643,True,True,True,True,True,1,1
105,bpi17denied,pattern,249,graph2642,True,True,True,True,True,1,0
106,bpi17denied,pattern,249,graph2641,True,True,True,True,True,1,0
107,bpi17denied,pattern,249,graph2640,True,True,True,True,True,1,1
108,bpi17denied,pattern,249,graph2639,False,False,False,False,,1,0
109,bpi17denied,pattern,249,graph2638,True,True,True,True,True,1,0
110,bpi17denied,pattern,249,graph2637,False,False,False,False,,1,0
111,bpi17denied,pattern,249,graph2636,False,False,False,False,,1,0
112,bpi17denied,pattern,249,graph2635,True,True,True,True,True,1,1
113,bpi17denied,pattern,249,graph2634,True,True,True,True,True,1,0
114,bpi17denied,pattern,249,graph2633,True,True,True,True,True,1,0
115,bpi17denied,pattern,249,graph2632,False,False,False,False,,1,0
116,bpi17denied,pattern,249,graph2631,True,True,True,True,True,1,1
117,bpi17denied,pattern,249,graph2630,False,False,False,False,,1,0
118,bpi17denied,pattern,249,graph2629,False,False,False,False,,1,0
119,bpi17denied,pattern,249,graph2628,True,True,True,True,True,1,1
120,bpi17denied,pattern,249,graph2627,True,True,True,True,True,1,0
121,bpi17denied,pattern,249,graph2626,True,True,True,True,True,1,0
122,bpi17denied,pattern,249,graph2625,True,True,True,True,True,1,1
123,bpi17denied,pattern,249,graph2624,False,False,False,False,,1,0
124,bpi17denied,pattern,249,graph2623,True,True,True,True,True,1,1
125,bpi17denied,pattern,249,graph2622,False,False,False,False,,1,0
126,bpi17denied,pattern,249,graph2621,False,False,False,False,,1,0
127,bpi17denied,pattern,249,graph2620,True,True,True,True,True,1,0
128,bpi17denied,pattern,249,graph2619,True,True,True,True,True,1,0
129,bpi17denied,pattern,249,graph2618,True,True,True,True,True,1,0
130,bpi17denied,pattern,249,graph2617,True,True,True,True,True,1,0
131,bpi17denied,pattern,249,graph2616,False,False,False,False,,1,0
132,bpi17denied,pattern,249,graph2615,False,False,False,False,,1,0
133,bpi17denied,pattern,249,graph2614,True,True,True,True,True,1,1
134,bpi17denied,pattern,249,graph2613,True,True,True,True,True,1,0
135,bpi17denied,pattern,249,graph2612,False,False,False,False,,1,0
136,bpi17denied,pattern,249,graph2611,True,True,True,True,True,1,0
137,bpi17denied,pattern,249,graph2610,True,True,True,True,True,1,0
138,bpi17denied,pattern,249,graph2609,True,True,True,True,True,1,1
139,bpi17denied,pattern,249,graph2608,True,True,True,True,True,1,1
140,bpi17denied,pattern,249,graph2607,True,True,True,True,True,1,1
141,bpi17denied,pattern,249,graph2606,True,True,True,True,True,1,1
142,bpi17denied,pattern,249,graph2605,True,True,True,True,True,1,1
143,bpi17denied,pattern,249,graph2604,True,True,True,True,True,1,0
144,bpi17denied,pattern,249,graph2603,False,False,False,False,,1,1
145,bpi17denied,pattern,249,graph2602,True,True,True,True,True,1,1
146,bpi17denied,pattern,249,graph2601,True,True,True,True,True,1,0
147,bpi17denied,pattern,249,graph2600,True,True,True,True,True,1,0
148,bpi17denied,pattern,249,graph2599,True,True,True,True,True,1,0
149,bpi17denied,pattern,249,graph2598,True,True,True,True,True,1,0
150,bpi17denied,pattern,249,graph2597,True,True,True,True,True,1,1
151,bpi17denied,pattern,249,graph2596,True,True,True,True,True,1,0
152,bpi17denied,pattern,249,graph2595,True,True,True,True,True,1,1
153,bpi17denied,pattern,249,graph2594,True,True,True,True,True,1,1
154,bpi17denied,pattern,249,graph2593,False,False,False,False,,1,0
155,bpi17denied,pattern,249,graph2592,True,True,True,True,True,1,1
156,bpi17denied,pattern,249,graph2591,True,True,True,True,True,1,0
157,bpi17denied,pattern,249,graph2590,False,False,False,False,,1,0
158,bpi17denied,pattern,249,graph2589,True,True,True,True,True,1,1
159,bpi17denied,pattern,249,graph2588,False,False,False,False,,1,0
160,bpi17denied,pattern,249,graph2587,True,True,True,True,True,1,1
161,bpi17denied,pattern,249,graph2586,True,True,True,True,True,1,0
162,bpi17denied,pattern,249,graph2585,True,True,True,True,True,1,1
163,bpi17denied,pattern,249,graph2584,False,False,False,False,,1,0
164,bpi17denied,pattern,249,graph2583,False,False,False,False,,1,0
165,bpi17denied,pattern,249,graph2582,True,True,True,True,True,1,0
166,bpi17denied,pattern,249,graph2581,True,True,True,True,True,1,1
167,bpi17denied,pattern,249,graph2580,True,True,True,True,True,1,0
168,bpi17denied,pattern,249,graph2579,True,True,True,True,True,1,1
169,bpi17denied,pattern,249,graph2578,True,True,True,True,True,1,0
170,bpi17denied,pattern,249,graph2577,True,True,True,True,True,1,0
171,bpi17denied,pattern,249,graph2576,True,True,True,True,True,1,0
172,bpi17denied,pattern,249,graph2575,True,True,True,True,True,1,0
173,bpi17denied,pattern,249,graph2574,True,True,True,True,True,1,0
174,bpi17denied,pattern,249,graph2573,True,True,True,True,True,1,0
175,bpi17denied,pattern,249,graph2572,True,True,True,True,True,1,0
176,bpi17denied,pattern,249,graph2571,True,True,True,True,True,1,0
177,bpi17denied,pattern,249,graph2570,True,True,True,True,True,1,0
178,bpi17denied,pattern,249,graph2569,True,True,True,True,True,1,0
179,bpi17denied,pattern,249,graph2568,True,True,True,True,True,1,0
180,bpi17denied,pattern,249,graph2567,True,True,True,True,True,1,0
181,bpi17denied,pattern,249,graph2566,True,True,True,True,True,1,0
182,bpi17denied,pattern,249,graph2565,True,True,True,True,True,1,1
183,bpi17denied,pattern,249,graph2564,False,False,False,False,,1,0
184,bpi17denied,pattern,249,graph2563,True,True,True,True,True,1,1
185,bpi17denied,pattern,249,graph2562,False,False,False,False,,1,0
186,bpi17denied,pattern,249,graph2561,True,True,True,True,True,1,1
187,bpi17denied,pattern,249,graph2560,False,False,False,False,,1,0
188,bpi17denied,pattern,249,graph2559,True,True,True,True,True,1,0
189,bpi17denied,pattern,249,graph2558,False,False,False,False,,1,0
190,bpi17denied,pattern,249,graph2557,True,True,True,True,True,1,0
191,bpi17denied,pattern,249,graph2556,True,True,True,True,True,1,1
192,bpi17denied,pattern,249,graph2555,False,False,False,False,,1,0
193,bpi17denied,pattern,249,graph2554,True,True,True,True,True,1,0
194,bpi17denied,pattern,249,graph2553,True,True,True,True,True,1,0
195,bpi17denied,pattern,249,graph2552,True,True,True,True,True,1,1
196,bpi17denied,pattern,249,graph2551,False,False,False,False,,1,0
197,bpi17denied,pattern,249,graph2550,True,True,True,True,True,1,0
198,bpi17denied,pattern,249,graph2549,True,True,True,True,True,1,1
199,bpi17denied,pattern,249,graph2548,False,False,False,False,,1,0
200,bpi17denied,pattern,249,graph2547,True,True,True,True,True,1,1
201,bpi17denied,pattern,249,graph2546,True,True,True,True,True,1,1
202,bpi17denied,pattern,249,graph2545,True,True,True,True,True,1,1
203,bpi17denied,pattern,249,graph2544,True,True,True,True,True,1,1
204,bpi17denied,pattern,249,graph2543,True,True,True,True,True,1,1
205,bpi17denied,pattern,249,graph2542,True,True,True,True,True,1,1
206,bpi17denied,pattern,249,graph2541,True,True,True,True,True,1,0
207,bpi17denied,pattern,249,graph2540,True,True,True,True,True,1,1
