Sub,Occurrences
SUB_1,0,0,0,0,1,0,0,1,1,1,1,1,1,1
SUB_2,0,1,1,2,0,1,2,1,0,2,1,0,0,0
SUB_3,1,1,0,1,1,1,1,1,1,0,0,1,1,1
SUB_4,1,1,0,1,0,2,1,0,0,0,1,2,3,0
SUB_5,1,3,2,0,1,1,0,1,2,1,1,0,0,2
SUB_6,3,1,1,2,1,0,1,2,2,2,2,2,2,1
SUB_7,0,0,1,0,0,1,4,1,1,0,1,1,0,0
SUB_8,0,1,0,0,1,1,1,1,1,1,2,0,1,0
SUB_9,3,2,1,2,0,1,2,2,0,2,1,0,1,2
SUB_12,0,0,0,1,0,0,1,0,1,1,0,1,0,1
SUB_14,0,0,2,0,0,0,0,0,1,0,0,0,0,0
SUB_15,0,0,0,1,0,0,0,1,0,0,0,1,1,0
SUB_17,0,0,0,0,0,0,0,0,2,0,0,0,0,0
SUB_18,0,0,0,0,1,0,1,0,0,0,3,0,0,0
SUB_20,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SUB_21,2,0,0,0,1,0,0,0,0,0,0,1,0,1
SUB_23,1,0,0,0,0,0,0,0,1,1,0,0,1,0
SUB_24,0,0,0,0,1,0,0,2,1,0,0,0,0,1
SUB_38,0,0,0,1,1,0,0,2,1,1,0,1,0,0
SUB_39,0,0,0,0,0,0,0,0,0,0,0,2,0,0
SUB_41,0,1,0,0,0,1,0,0,0,0,1,0,0,0
SUB_42,0,0,1,0,0,1,0,0,2,0,0,1,1,0
SUB_108,0,1,1,0,1,1,1,1,1,1,1,1,1,1
SUB_138,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SUB_140,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SUB_156,0,0,1,1,0,0,0,0,0,0,0,0,0,0
SUB_157,0,0,2,0,1,0,0,0,1,0,0,1,0,0
SUB_159,4,2,2,1,1,0,1,1,2,2,1,1,1,1
